,el,er,ia,sr
488,1.0,10.0,0.0,0.0
489,1.0,10.0,0.0,0.0
490,4.0,6.0,2.0,0.0
491,1.0,10.0,0.0,0.0
492,1.0,10.0,0.0,0.0
493,3.0,8.0,1.0,0.0
494,1.0,10.0,0.0,0.0
495,6.0,-4.0,3.0,0.0
496,1.0,10.0,0.0,0.0
497,5.0,-4.0,3.0,0.0
498,1.0,10.0,0.0,0.0
499,1.0,10.0,0.0,0.0
500,1.0,10.0,0.0,0.0
501,1.0,10.0,0.0,0.0
502,1.0,10.0,0.0,0.0
503,1.0,10.0,0.0,0.0
504,1.0,10.0,0.0,0.0
505,1.0,10.0,0.0,0.0
506,1.0,10.0,0.0,0.0
507,2.0,8.0,1.0,0.0
508,1.0,10.0,0.0,0.0
509,2.0,10.0,0.0,0.0
510,1.0,10.0,0.0,0.0
511,1.0,10.0,0.0,0.0
512,3.0,8.0,1.0,0.0
513,3.0,8.0,1.0,0.0
514,1.0,10.0,0.0,0.0
515,1.0,10.0,0.0,0.0
516,1.0,10.0,0.0,0.0
517,6.0,-16.0,5.0,0.0
518,3.0,8.0,1.0,0.0
519,1.0,10.0,0.0,0.0
520,1.0,10.0,0.0,0.0
521,2.0,8.0,1.0,0.0
522,11.0,-28.0,10.0,0.0
523,1.0,10.0,0.0,0.0
524,11.0,-24.0,8.0,0.0
525,3.0,-2.0,2.0,0.0
526,1.0,10.0,0.0,0.0
527,4.0,-4.0,3.0,0.0
528,11.0,-10.0,5.0,0.0
529,1.0,10.0,0.0,0.0
530,2.0,8.0,1.0,0.0
531,4.0,8.0,1.0,0.0
532,2.0,8.0,1.0,0.0
533,1.0,10.0,0.0,0.0
534,6.0,-4.0,3.0,0.0
535,1.0,10.0,0.0,0.0
536,1.0,10.0,0.0,0.0
537,1.0,10.0,0.0,0.0
538,2.0,0.0,1.0,0.0
539,1.0,10.0,0.0,0.0
540,11.0,-14.0,7.0,0.0
541,1.0,10.0,0.0,0.0
542,1.0,10.0,0.0,0.0
543,1.0,10.0,0.0,0.0
544,1.0,10.0,0.0,0.0
545,1.0,10.0,0.0,0.0
546,1.0,10.0,0.0,0.0
547,2.0,8.0,1.0,0.0
548,1.0,10.0,0.0,0.0
549,1.0,10.0,0.0,0.0
550,2.0,8.0,1.0,0.0
551,2.0,10.0,0.0,0.0
552,1.0,10.0,0.0,0.0
553,1.0,10.0,0.0,0.0
554,1.0,10.0,0.0,0.0
555,1.0,10.0,0.0,0.0
556,1.0,10.0,0.0,0.0
557,1.0,10.0,0.0,0.0
558,1.0,10.0,0.0,0.0
559,1.0,10.0,0.0,0.0
560,1.0,10.0,0.0,0.0
561,1.0,10.0,0.0,0.0
562,1.0,10.0,0.0,0.0
563,2.0,10.0,0.0,0.0
564,3.0,8.0,1.0,0.0
565,3.0,-10.0,2.0,0.0
566,1.0,10.0,0.0,0.0
567,1.0,10.0,0.0,0.0
568,1.0,10.0,0.0,0.0
569,2.0,0.0,1.0,0.0
570,1.0,10.0,0.0,0.0
571,1.0,10.0,0.0,0.0
572,1.0,10.0,0.0,0.0
573,6.0,-6.0,4.0,0.0
574,1.0,10.0,0.0,0.0
575,1.0,10.0,0.0,0.0
576,1.0,10.0,0.0,0.0
577,11.0,-14.0,7.0,0.0
578,1.0,10.0,0.0,0.0
579,1.0,10.0,0.0,0.0
580,1.0,10.0,0.0,0.0
581,3.0,8.0,1.0,0.0
582,4.0,6.0,2.0,0.0
583,1.0,10.0,0.0,0.0
584,1.0,10.0,0.0,0.0
585,1.0,10.0,0.0,0.0
586,3.0,8.0,1.0,0.0
587,1.0,10.0,0.0,0.0
588,1.0,10.0,0.0,0.0
589,1.0,10.0,0.0,0.0
590,1.0,10.0,0.0,0.0
591,1.0,10.0,0.0,0.0
592,1.0,10.0,0.0,0.0
593,1.0,10.0,0.0,0.0
594,1.0,10.0,0.0,0.0
595,6.0,-4.0,3.0,0.0
596,1.0,10.0,0.0,0.0
597,10.0,-4.0,7.0,0.0
598,1.0,10.0,0.0,0.0
599,2.0,10.0,0.0,0.0
600,1.0,10.0,0.0,0.0
601,2.0,10.0,0.0,0.0
602,3.0,10.0,0.0,0.0
603,4.0,6.0,2.0,0.0
604,3.0,8.0,1.0,0.0
605,1.0,10.0,0.0,0.0
606,1.0,10.0,0.0,0.0
607,1.0,10.0,0.0,0.0
608,6.0,4.0,3.0,0.0
609,1.0,10.0,0.0,0.0
610,1.0,10.0,0.0,0.0
611,1.0,10.0,0.0,0.0
612,1.0,10.0,0.0,0.0
613,1.0,10.0,0.0,0.0
614,1.0,10.0,0.0,0.0
615,1.0,10.0,0.0,0.0
616,2.0,10.0,0.0,0.0
617,1.0,10.0,0.0,0.0
618,1.0,10.0,0.0,0.0
619,1.0,10.0,0.0,0.0
620,1.0,10.0,0.0,0.0
621,2.0,10.0,0.0,0.0
622,1.0,10.0,0.0,0.0
623,1.0,10.0,0.0,0.0
624,1.0,10.0,0.0,0.0
625,11.0,-10.0,5.0,0.0
626,1.0,10.0,0.0,0.0
627,4.0,6.0,2.0,0.0
628,1.0,10.0,0.0,0.0
629,6.0,-4.0,3.0,0.0
630,1.0,10.0,0.0,0.0
631,1.0,10.0,0.0,0.0
632,5.0,-2.0,2.0,0.0
633,2.0,8.0,1.0,0.0
634,1.0,10.0,0.0,0.0
635,2.0,10.0,0.0,0.0
636,1.0,10.0,0.0,0.0
637,3.0,8.0,1.0,0.0
638,3.0,8.0,1.0,0.0
639,4.0,-10.0,2.0,0.0
640,1.0,10.0,0.0,0.0
641,1.0,10.0,0.0,0.0
642,1.0,10.0,0.0,0.0
643,1.0,10.0,0.0,0.0
644,1.0,10.0,0.0,0.0
645,1.0,10.0,0.0,0.0
646,11.0,-26.0,9.0,0.0
647,5.0,-12.0,3.0,0.0
648,1.0,10.0,0.0,0.0
649,1.0,10.0,0.0,0.0
650,1.0,10.0,0.0,0.0
651,2.0,0.0,1.0,0.0
652,1.0,10.0,0.0,0.0
653,2.0,0.0,1.0,0.0
654,7.0,2.0,4.0,0.0
655,2.0,0.0,1.0,0.0
656,4.0,-2.0,2.0,0.0
657,1.0,10.0,0.0,0.0
658,2.0,8.0,1.0,0.0
659,3.0,8.0,1.0,0.0
660,1.0,10.0,0.0,0.0
661,1.0,10.0,0.0,0.0
662,1.0,10.0,0.0,0.0
663,2.0,8.0,1.0,0.0
664,1.0,10.0,0.0,0.0
665,2.0,0.0,1.0,0.0
666,1.0,10.0,0.0,0.0
667,1.0,10.0,0.0,0.0
668,11.0,-26.0,9.0,0.0
669,3.0,-2.0,2.0,0.0
670,1.0,10.0,0.0,0.0
671,5.0,-2.0,2.0,0.0
672,1.0,10.0,0.0,0.0
673,3.0,8.0,1.0,0.0
674,9.0,2.0,4.0,0.0
675,1.0,10.0,0.0,0.0
676,11.0,-14.0,7.0,0.0
677,2.0,8.0,1.0,0.0
678,1.0,10.0,0.0,0.0
679,1.0,10.0,0.0,0.0
680,2.0,10.0,0.0,0.0
681,1.0,10.0,0.0,0.0
682,1.0,10.0,0.0,0.0
683,11.0,-14.0,7.0,0.0
684,11.0,-14.0,7.0,0.0
685,1.0,10.0,0.0,0.0
686,1.0,10.0,0.0,0.0
687,3.0,8.0,1.0,0.0
688,1.0,10.0,0.0,0.0
689,1.0,10.0,0.0,0.0
690,2.0,10.0,0.0,0.0
691,1.0,10.0,0.0,0.0
692,1.0,10.0,0.0,0.0
693,4.0,6.0,2.0,0.0
