,Unnamed: 0,ct,el,er,t
1015,,0.0,11.0,0.0,25833.76375937462
1016,,0.0,2.0,10.0,25855.61883378029
1017,,0.0,1.0,10.0,25865.822591543198
1018,,0.0,7.0,10.0,25945.532482624054
1019,,0.0,2.0,10.0,25966.01234436035
1020,,0.0,3.0,10.0,25999.657764434814
1021,,0.0,5.0,10.0,26055.560849666595
1022,,0.0,6.0,10.0,26123.557689666748
1023,,0.0,2.0,10.0,26147.1778216362
1024,,0.0,11.0,0.0,26291.459693670273
1025,,0.0,3.0,10.0,26323.494325637817
1026,,0.0,11.0,0.0,26457.42223262787
1027,,0.0,5.0,10.0,26514.1434571743
1028,,0.0,11.0,0.0,26651.89582133293
1029,,0.0,5.0,10.0,26704.720304250717
1030,,0.0,11.0,0.0,26842.931977033615
1031,,0.0,6.0,10.0,26909.37974524498
1032,,0.0,3.0,10.0,26939.597256422043
1033,,0.0,11.0,0.0,27080.247477054596
1034,,0.0,11.0,0.0,27208.863040447235
1035,,0.0,5.0,10.0,27263.157099962234
1036,,0.0,2.0,10.0,27284.497158050537
1037,,0.0,5.0,10.0,27340.45951318741
1038,,0.0,11.0,0.0,27471.911514282227
1039,,0.0,8.0,10.0,27561.440652370453
1040,,0.0,9.0,10.0,27665.659669160843
1041,,0.0,6.0,10.0,27736.769963741302
1042,,0.0,1.0,10.0,27745.78923392296
1043,,0.0,11.0,0.0,27873.961889982224
1044,,0.0,6.0,10.0,27953.477020263672
1045,,0.0,11.0,0.0,28089.54432797432
1046,,0.0,5.0,10.0,28144.617426156998
1047,,0.0,11.0,0.0,28273.194237709045
1048,,0.0,4.0,10.0,28319.38305568695
1049,,0.0,6.0,10.0,28390.600692749023
1050,,0.0,8.0,10.0,28482.576590776443
1051,,0.0,11.0,0.0,28616.29028391838
1052,,0.0,2.0,10.0,28639.071589946747
1053,,0.0,3.0,10.0,28673.172654628754
1054,,0.0,11.0,0.0,28808.405342578888
1055,,0.0,6.0,10.0,28881.40421962738
1056,,0.0,7.0,10.0,28961.467547893524
1057,,0.0,11.0,0.0,29094.38076066971
1058,,0.0,3.0,10.0,29127.783510684967
1059,,0.0,11.0,0.0,29257.74226474762
1060,,0.0,4.0,10.0,29308.47322154045
1061,,0.0,6.0,10.0,29376.695354938507
1062,,0.0,10.0,10.0,29490.80309009552
1063,,0.0,8.0,10.0,29579.689185380936
1064,,0.0,7.0,10.0,29659.02881503105
1065,,0.0,8.0,10.0,29747.526086568832
1066,,0.0,5.0,10.0,29805.51758956909
1067,,0.0,5.0,10.0,29859.929310321808
1068,,0.0,5.0,10.0,29914.960342884064
1069,,0.0,5.0,10.0,29972.461287736893
1070,,0.0,2.0,10.0,29993.648743867874
1071,,0.0,8.0,10.0,30086.779941797256
1072,,0.0,10.0,10.0,30204.26165342331
1073,,0.0,8.0,10.0,30294.252705574036
1074,,0.0,5.0,10.0,30353.08436536789
1075,,0.0,7.0,10.0,30433.023327112198
1076,,0.0,7.0,10.0,30512.871387004852
1077,,0.0,4.0,10.0,30557.348358392715
1078,,0.0,8.0,10.0,30651.347827911377
1079,,0.0,3.0,10.0,30683.95886039734
1080,,0.0,4.0,10.0,30728.98816037178
1081,,0.0,3.0,10.0,30763.77989768982
1082,,0.0,4.0,10.0,30810.683042287827
1083,,0.0,1.0,10.0,30818.12345099449
1084,,0.0,4.0,10.0,30864.486076831818
1085,,0.0,2.0,10.0,30885.114634752274
1086,,0.0,8.0,10.0,30984.012792110443
1087,,0.0,11.0,0.0,31134.03115081787
1088,,0.0,6.0,10.0,31203.23455929756
1089,,0.0,7.0,10.0,31282.25089597702
1090,,0.0,5.0,10.0,31339.92215847969
1091,,0.0,9.0,10.0,31442.20369553566
1092,,0.0,11.0,0.0,31572.942479610443
1093,,0.0,11.0,0.0,31710.29765343666
1094,,0.0,4.0,10.0,31754.2810819149
1095,,0.0,4.0,10.0,31803.01781821251
1096,,0.0,11.0,10.0,31930.49054455757
1097,,0.0,3.0,10.0,31962.920323610306
1098,,0.0,11.0,0.0,32091.426981925964
1099,,0.0,7.0,10.0,32170.316390514374
1100,,0.0,5.0,10.0,32231.273988723755
1101,,0.0,8.0,10.0,32327.42713713646
1102,,0.0,1.0,10.0,32336.860521793365
1103,,0.0,11.0,0.0,32465.4520881176
1104,,0.0,6.0,10.0,32532.854047060013
1105,,0.0,7.0,10.0,32616.163531064987
1106,,0.0,6.0,10.0,32682.456396579742
1107,,0.0,11.0,0.0,32808.95504808426
1108,,0.0,11.0,0.0,32940.21620130539
1109,,0.0,2.0,10.0,32958.86885070801
1110,,0.0,5.0,10.0,33016.249975442886
1111,,0.0,11.0,0.0,33148.10464549065
1112,,0.0,3.0,10.0,33182.70637726784
1113,,0.0,8.0,10.0,33278.31560611725
1114,,0.0,6.0,10.0,33345.2037858963
1115,,0.0,11.0,0.0,33473.81573796272
1116,,0.0,11.0,0.0,33603.685633420944
1117,,0.0,9.0,10.0,33704.353496551514
1118,,0.0,7.0,10.0,33789.145285367966
1119,,0.0,3.0,10.0,33819.34154033661
1120,,0.0,11.0,10.0,33952.054599285126
1121,,0.0,7.0,10.0,34039.4907310009
1122,,0.0,11.0,0.0,34172.533986091614
1123,,0.0,3.0,10.0,34206.6861679554
1124,,0.0,3.0,10.0,34238.96970653534
1125,,0.0,5.0,10.0,34300.19572353363
1126,,0.0,5.0,10.0,34357.15554857254
1127,,0.0,2.0,10.0,34379.180644750595
1128,,0.0,11.0,0.0,34507.35946035385
1129,,0.0,9.0,10.0,34609.6821911335
1130,,0.0,11.0,0.0,34751.3184068203
1131,,0.0,1.0,10.0,34762.011531591415
1132,,0.0,2.0,10.0,34781.10080599785
1133,,0.0,3.0,10.0,34814.12951421738
1134,,0.0,11.0,0.0,34942.73684120178
1135,,0.0,3.0,10.0,34978.16170191765
1136,,0.0,4.0,10.0,35021.84023618698
1137,,0.0,3.0,10.0,35053.43928694725
1138,,0.0,6.0,10.0,35121.336889743805
1139,,0.0,11.0,10.0,35247.10782814026
1140,,0.0,2.0,10.0,35268.099071502686
1141,,0.0,2.0,10.0,35289.789340019226
1142,,0.0,7.0,10.0,35366.74273729324
1143,,0.0,6.0,10.0,35436.312913656235
1144,,0.0,11.0,0.0,35569.121317625046
1145,,0.0,7.0,10.0,35652.514686107635
1146,,0.0,2.0,10.0,35674.91155433655
1147,,0.0,2.0,10.0,35695.85192656517
1148,,0.0,3.0,10.0,35730.19025397301
1149,,0.0,3.0,10.0,35768.48184299469
1150,,0.0,11.0,0.0,35894.59035420418
1151,,0.0,11.0,0.0,36034.478414058685
1152,,0.0,11.0,0.0,36171.77469086647
1153,,0.0,7.0,10.0,36251.97229552269
1154,,0.0,10.0,10.0,36366.39027047157
1155,,0.0,11.0,10.0,36500.90237593651
1156,,0.0,1.0,10.0,36508.71046614647
1157,,0.0,3.0,10.0,36539.79468393326
1158,,0.0,11.0,0.0,36676.05892586708
1159,,0.0,2.0,10.0,36699.23319244385
1160,,0.0,11.0,0.0,36839.50303578377
1161,,0.0,7.0,10.0,36925.79698562622
1162,,0.0,3.0,10.0,36959.10201740265
1163,,0.0,11.0,10.0,37082.0442199707
1164,,0.0,3.0,10.0,37118.12786316872
1165,,0.0,11.0,0.0,37252.037438869476
1166,,0.0,4.0,10.0,37295.99968910217
1167,,0.0,9.0,10.0,37398.21100759506
1168,,0.0,11.0,0.0,37530.076276540756
1169,,0.0,2.0,10.0,37553.23013663292
1170,,0.0,5.0,10.0,37607.664152383804
1171,,0.0,2.0,10.0,37629.658231019974
1172,,0.0,11.0,10.0,37757.26144695282
1173,,0.0,9.0,10.0,37862.69252514839
1174,,0.0,7.0,10.0,37948.98072266579
1175,,0.0,11.0,0.0,38078.80309486389
1176,,0.0,6.0,10.0,38145.0431702137
1177,,0.0,4.0,10.0,38187.96603298187
1178,,0.0,2.0,10.0,38209.559898138046
1179,,0.0,1.0,10.0,38217.15676856041
1180,,0.0,4.0,10.0,38263.753819942474
1181,,0.0,3.0,10.0,38294.968456983566
